route,canonical,family
/,https://salarydecoded.com/,homepage
uk,https://salarydecoded.com/uk/,uk
uk/salary-calculator,https://salarydecoded.com/uk/salary-calculator/,uk
uk/salary-guides,https://salarydecoded.com/uk/salary-guides/,uk
uk/monthly-take-home-pay,https://salarydecoded.com/uk/monthly-take-home-pay/,uk
uk/weekly-take-home-pay,https://salarydecoded.com/uk/weekly-take-home-pay/,uk
uk/20000-salary,https://salarydecoded.com/uk/20000-salary/,uk
uk/25000-salary,https://salarydecoded.com/uk/25000-salary/,uk
uk/30000-salary,https://salarydecoded.com/uk/30000-salary/,uk
uk/35000-salary,https://salarydecoded.com/uk/35000-salary/,uk
uk/40000-salary,https://salarydecoded.com/uk/40000-salary/,uk
uk/45000-salary,https://salarydecoded.com/uk/45000-salary/,uk
uk/50000-salary,https://salarydecoded.com/uk/50000-salary/,uk
uk/60000-salary,https://salarydecoded.com/uk/60000-salary/,uk
uk/70000-salary,https://salarydecoded.com/uk/70000-salary/,uk
uk/75000-salary,https://salarydecoded.com/uk/75000-salary/,uk
uk/80000-salary,https://salarydecoded.com/uk/80000-salary/,uk
uk/90000-salary,https://salarydecoded.com/uk/90000-salary/,uk
uk/100000-salary,https://salarydecoded.com/uk/100000-salary/,uk
uk/125000-salary,https://salarydecoded.com/uk/125000-salary/,uk
uk/150000-salary,https://salarydecoded.com/uk/150000-salary/,uk
us,https://salarydecoded.com/us/,us
us/salary-calculator,https://salarydecoded.com/us/salary-calculator/,us
us/salary-guides,https://salarydecoded.com/us/salary-guides/,us
us/state-salary-guides,https://salarydecoded.com/us/state-salary-guides/,us
us/california,https://salarydecoded.com/us/california/,us
us/new-york,https://salarydecoded.com/us/new-york/,us
us/texas,https://salarydecoded.com/us/texas/,us
us/florida,https://salarydecoded.com/us/florida/,us
us/30000-salary,https://salarydecoded.com/us/30000-salary/,us
us/40000-salary,https://salarydecoded.com/us/40000-salary/,us
us/50000-salary,https://salarydecoded.com/us/50000-salary/,us
us/60000-salary,https://salarydecoded.com/us/60000-salary/,us
us/75000-salary,https://salarydecoded.com/us/75000-salary/,us
us/100000-salary,https://salarydecoded.com/us/100000-salary/,us
us/125000-salary,https://salarydecoded.com/us/125000-salary/,us
us/150000-salary,https://salarydecoded.com/us/150000-salary/,us
us/200000-salary,https://salarydecoded.com/us/200000-salary/,us
us/250000-salary,https://salarydecoded.com/us/250000-salary/,us
us/california/100000-salary,https://salarydecoded.com/us/california/100000-salary/,us
us/california/150000-salary,https://salarydecoded.com/us/california/150000-salary/,us
us/new-york/100000-salary,https://salarydecoded.com/us/new-york/100000-salary/,us
us/new-york/150000-salary,https://salarydecoded.com/us/new-york/150000-salary/,us
us/texas/100000-salary,https://salarydecoded.com/us/texas/100000-salary/,us
us/texas/150000-salary,https://salarydecoded.com/us/texas/150000-salary/,us
us/florida/100000-salary,https://salarydecoded.com/us/florida/100000-salary/,us
us/florida/150000-salary,https://salarydecoded.com/us/florida/150000-salary/,us
tools/salary-to-hourly,https://salarydecoded.com/tools/salary-to-hourly/,tools
tools/hourly-to-salary,https://salarydecoded.com/tools/hourly-to-salary/,tools
tools/pay-rise-calculator,https://salarydecoded.com/tools/pay-rise-calculator/,tools
tools/salary-comparison,https://salarydecoded.com/tools/salary-comparison/,tools
tools/bonus-calculator,https://salarydecoded.com/tools/bonus-calculator/,tools
about,https://salarydecoded.com/about/,about
methodology,https://salarydecoded.com/methodology/,methodology
tax-assumptions,https://salarydecoded.com/tax-assumptions/,tax-assumptions
editorial-standards,https://salarydecoded.com/editorial-standards/,editorial-standards
privacy,https://salarydecoded.com/privacy/,privacy
disclaimer,https://salarydecoded.com/disclaimer/,disclaimer
accessibility,https://salarydecoded.com/accessibility/,accessibility
